well,condition,day,method,t,dy,dx,post_corr,overlap
I05,PLD3_mCherry_reporter_control,39,stable_subpixel,8,0.0,-0.15,0.004773282216052669,0.9999476987447699
J05,PLD3_TMEM106B_mCherry_primary,8,A_cli,0,0.0,0.0,1.0,1.0
J05,PLD3_TMEM106B_mCherry_primary,12,A_cli,1,0.0,362.9,-0.004703106404555428,0.8734658298465829
J05,PLD3_TMEM106B_mCherry_primary,16,A_cli,2,0.0,701.5,-0.006258641627469852,0.7554044630404463
J05,PLD3_TMEM106B_mCherry_primary,20,A_cli,3,0.0,671.1,-0.0014378780982850562,0.7660041841004185
J05,PLD3_TMEM106B_mCherry_primary,25,A_cli,4,0.0,-930.3,-0.0011140679603601246,0.6756276150627616
J05,PLD3_TMEM106B_mCherry_primary,29,A_cli,5,0.0,-512.0,0.004534510700952308,0.8214783821478382
J05,PLD3_TMEM106B_mCherry_primary,32,A_cli,6,-796.7,0.0,0.009295250964594482,0.72221059972106
J05,PLD3_TMEM106B_mCherry_primary,36,A_cli,7,-939.2,0.0,-0.003756400227001015,0.6725244072524407
J05,PLD3_TMEM106B_mCherry_primary,39,A_cli,8,-662.7,0.0,0.0029679785204492393,0.7689330543933055
J05,PLD3_TMEM106B_mCherry_primary,8,B_pilot,0,0.0,0.0,1.0,1.0
J05,PLD3_TMEM106B_mCherry_primary,12,B_pilot,1,-40.0,-67.0,0.183215431984919,0.9630175903394159
J05,PLD3_TMEM106B_mCherry_primary,16,B_pilot,2,-31.0,-19.0,0.13941208463313204,0.9826378555075094
J05,PLD3_TMEM106B_mCherry_primary,20,B_pilot,3,-9.0,-70.0,0.11903554314836237,0.9725312640418293
J05,PLD3_TMEM106B_mCherry_primary,25,B_pilot,4,78.0,0.0,0.09812326369087802,0.9728033472803347
J05,PLD3_TMEM106B_mCherry_primary,29,B_pilot,5,49.0,-21.0,0.07666441411770687,0.9757178474933329
J05,PLD3_TMEM106B_mCherry_primary,32,B_pilot,6,505.0,-91.0,0.059336580127023156,0.7977766252536039
J05,PLD3_TMEM106B_mCherry_primary,36,B_pilot,7,-47.0,-116.0,0.04935727304192563,0.943828792290829
J05,PLD3_TMEM106B_mCherry_primary,39,B_pilot,8,44.0,1957.0,0.019158387679414555,0.31276977332718653
J05,PLD3_TMEM106B_mCherry_primary,8,stable_subpixel,0,0.0,0.0,1.0,1.0
J05,PLD3_TMEM106B_mCherry_primary,12,stable_subpixel,1,0.0,-0.25,0.0021126020841513134,0.9999128312412832
J05,PLD3_TMEM106B_mCherry_primary,16,stable_subpixel,2,-0.05,920.0,-0.004841874564234369,0.6792071265870306
J05,PLD3_TMEM106B_mCherry_primary,20,stable_subpixel,3,1.9,-1297.25,0.0006373894580747281,0.5473184816977216
J05,PLD3_TMEM106B_mCherry_primary,25,stable_subpixel,4,0.0,0.2,0.004416392717599524,0.9999302649930265
J05,PLD3_TMEM106B_mCherry_primary,29,stable_subpixel,5,0.0,0.2,0.008509025191470593,0.9999302649930265
J05,PLD3_TMEM106B_mCherry_primary,32,stable_subpixel,6,2.0,-922.05,-0.0017804759553499562,0.6780310291603205
J05,PLD3_TMEM106B_mCherry_primary,36,stable_subpixel,7,0.05,0.0,0.001983835349117668,0.9999825662482565
J05,PLD3_TMEM106B_mCherry_primary,39,stable_subpixel,8,1026.0,-2.0,-0.0007956893471301255,0.641811534578643
M20,PLD3_mCherry_reporter_control,8,A_cli,0,0.0,0.0,1.0,1.0
M20,PLD3_mCherry_reporter_control,12,A_cli,1,0.0,1.1,0.003138629329547988,0.9996164574616457
M20,PLD3_mCherry_reporter_control,16,A_cli,2,0.0,-243.1,-0.0007459403917020282,0.91523709902371
M20,PLD3_mCherry_reporter_control,20,A_cli,3,1270.8,0.0,0.009311147316388494,0.5569037656903766
M20,PLD3_mCherry_reporter_control,25,A_cli,4,27.3,0.0,0.010393593067186301,0.9904811715481171
M20,PLD3_mCherry_reporter_control,29,A_cli,5,-312.9,0.0,-0.0013818127478963625,0.8908995815899582
M20,PLD3_mCherry_reporter_control,32,A_cli,6,-1218.8,0.0,-0.009393509002874825,0.5750348675034869
M20,PLD3_mCherry_reporter_control,36,A_cli,7,-1234.3,0.0,-0.006169292755799391,0.5696304044630405
M20,PLD3_mCherry_reporter_control,39,A_cli,8,-44.4,0.0,0.00010899253817321022,0.9845188284518829
M20,PLD3_mCherry_reporter_control,8,B_pilot,0,0.0,0.0,1.0,1.0
M20,PLD3_mCherry_reporter_control,12,B_pilot,1,-185.0,-43.0,0.17728207301015264,0.9214692154471308
M20,PLD3_mCherry_reporter_control,16,B_pilot,2,-79.0,-13.0,0.15815314432984254,0.9680467535776879
M20,PLD3_mCherry_reporter_control,20,B_pilot,3,-193.0,-39.0,0.12098993045116516,0.9200224815158464
M20,PLD3_mCherry_reporter_control,25,B_pilot,4,96.0,-14.0,0.11147311088409353,0.9618091419968138
M20,PLD3_mCherry_reporter_control,29,B_pilot,5,53.0,-19.0,0.10032787216792177,0.9750178227894392
M20,PLD3_mCherry_reporter_control,32,B_pilot,6,326.0,-60.0,0.08712870433198165,0.8677894294567672
M20,PLD3_mCherry_reporter_control,36,B_pilot,7,-211.0,-80.0,0.059854946793605375,0.9005877386989413
M20,PLD3_mCherry_reporter_control,39,B_pilot,8,523.0,99.0,0.05414871765039273,0.7894188798048587
M20,PLD3_mCherry_reporter_control,8,stable_subpixel,0,0.0,0.0,1.0,1.0
M20,PLD3_mCherry_reporter_control,12,stable_subpixel,1,-1.4,-0.05,0.0020720364594983922,0.9994944297096415
M20,PLD3_mCherry_reporter_control,16,stable_subpixel,2,-0.05,0.55,0.0023727932853256505,0.999790798322372
M20,PLD3_mCherry_reporter_control,20,stable_subpixel,3,920.9,1.0,0.01767418721871669,0.6786684431100451
M20,PLD3_mCherry_reporter_control,25,stable_subpixel,4,-1026.0,1.95,-0.011905163567683723,0.6418227315698255
M20,PLD3_mCherry_reporter_control,29,stable_subpixel,5,921.1,0.05,0.014555965486235941,0.6788235907352618
M20,PLD3_mCherry_reporter_control,32,stable_subpixel,6,920.9,1.0,0.0070492980614594815,0.6786684431100451
M20,PLD3_mCherry_reporter_control,36,stable_subpixel,7,-0.05,0.0,0.004436930261021727,0.9999825662482565
M20,PLD3_mCherry_reporter_control,39,stable_subpixel,8,922.05,0.95,0.01091649135509201,0.6782794355038719
N20,PLD3_TMEM106B_mCherry_primary,8,A_cli,0,0.0,0.0,1.0,1.0
N20,PLD3_TMEM106B_mCherry_primary,12,A_cli,1,0.0,748.3,5.661520172191436e-07,0.7390864714086471
N20,PLD3_TMEM106B_mCherry_primary,16,A_cli,2,1.1,1027.1,0.004159473743837322,0.6416296849864518
N20,PLD3_TMEM106B_mCherry_primary,20,A_cli,3,0.8,0.0,-0.0005961702003098334,0.9997210599721059
N20,PLD3_TMEM106B_mCherry_primary,25,A_cli,4,0.0,689.3,0.0033012925333400014,0.7596582984658298
