well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,large_shift,reanchored,anchor_ref_day,n_reanchors,anchor_churn,well_registration_qc_pass,qc_note,row,column,common_crop
C13,PLD3_only_no_mCherry,39,488nm Binned,696.7658238143922,-139.780776682971,-0.0016982903042554163,0.24038570872264636,0.7201577472228166,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,13,"{'y_start': 476, 'y_stop': 2742, 'x_start': 6, 'x_stop': 2696}"
C10,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C10,PLD3_only_no_mCherry,12,488nm Binned,-85.0,-135.0,0.011949100860796471,0.20295836197002776,0.9246865571914591,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C10,PLD3_only_no_mCherry,16,488nm Binned,-38.0,-40.0,0.011354235070975289,0.1625134294977138,0.9729881401858433,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C10,PLD3_only_no_mCherry,20,488nm Binned,-65.0,-156.0,0.004875054768384123,0.14141952160795668,0.9241755804928719,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C10,PLD3_only_no_mCherry,25,488nm Binned,81.80700765967049,4.948139120344422,0.001093733900999072,0.11263165451194672,0.9697998585227747,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C10,PLD3_only_no_mCherry,29,488nm Binned,53.80700765967049,-19.051860879655578,0.013118527157481309,0.32031187733303995,0.9747205601381151,,True,False,True,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C10,PLD3_only_no_mCherry,32,488nm Binned,450.1343596461593,-172.16743422707077,0.0018976366353500426,0.1883309816950318,0.7924407219529718,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C10,PLD3_only_no_mCherry,36,488nm Binned,-97.54703451489331,-183.92458032999275,0.0019006870195511394,0.13993094820641516,0.9040390751905863,,True,False,False,25,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C10,PLD3_only_no_mCherry,39,488nm Binned,767.8916548743146,-139.88995492728282,0.00482003944309097,0.25473362928868537,0.6965387646981388,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,10,"{'y_start': 514, 'y_stop': 2770, 'x_start': 5, 'x_stop': 2693}"
C14,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,12,488nm Binned,-122.0,-137.0,0.0028356877076774084,0.1608006788882169,0.9117251584842313,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,16,488nm Binned,-51.0,-41.0,0.01107565742263766,0.13509511375117036,0.9681761086115439,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,20,488nm Binned,-115.0,-160.0,-0.0023997237363578613,0.10735165317952453,0.9063513321623299,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,25,488nm Binned,90.42248039005062,4.944210214785926,0.011644318219624254,0.2909172166161511,0.9668023677680956,,True,False,True,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,29,488nm Binned,55.42248039005062,-20.055789785214074,0.014129351032132798,0.2450282470278852,0.9738177463864987,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,32,488nm Binned,406.48252619917184,-174.1355439936524,0.009365971860367278,0.18615170293522731,0.806158373174512,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,36,488nm Binned,-140.28573392831458,-182.86031461048697,0.004545222571886813,0.12586357070332946,0.890445747992105,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C14,PLD3_only_no_mCherry,39,488nm Binned,671.0575894808862,-142.74579613465903,0.0044153059691734555,0.2519982054770004,0.7278927554272303,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,14,"{'y_start': 460, 'y_stop': 2727, 'x_start': 5, 'x_stop': 2692}"
C05,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
C05,PLD3_only_no_mCherry,12,488nm Binned,-36.0,-132.0,0.008195128939766658,0.17881323206136665,0.9420003151205336,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
C05,PLD3_only_no_mCherry,16,488nm Binned,-23.0,-39.0,0.012500576463785686,0.15969547342256124,0.9784911999673208,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
