experiment,well,config,method,ref_mode,timepoint,true_dy,true_dx,est_dy,est_dx,abs_err_px,post_corr,reg_error,overlap,qc_pass
E3_mcherry,6,corr0.3,B_pilot,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.3,B_pilot,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.3,B_pilot,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.3,B_pilot,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.3,B_pilot,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.3,B_pilot,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.3,B_pilot,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,1,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.5,B_pilot,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,1,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,corr0.7,B_pilot,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,True
E3_mcherry,6,stride2,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,6,stride2,stable_subpixel,anchored,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride2,stable_subpixel,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride2,stable_subpixel,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride2,stable_subpixel,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride2,stable_subpixel,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride2,stable_subpixel,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride2,stable_subpixel,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
