well,n_days,n_large_shifts,max_shift_px,median_shift_px,min_overlap_fraction,classification
K05,9,6,1340.3,232.7,0.5326708507670851,high_drift_or_erratic
I16,9,6,1320.9,215.1,0.5394351464435146,high_drift_or_erratic
D08,9,6,1294.0,409.1,0.5488145048814504,high_drift_or_erratic
M20,9,6,1271.0,312.9,0.5568340306834031,high_drift_or_erratic
K10,9,6,1233.2,849.0,0.5700139470013946,high_drift_or_erratic
C18,9,6,1230.9,382.3,0.57081589958159,high_drift_or_erratic
H08,9,6,1190.4,847.5,0.5849372384937238,high_drift_or_erratic
G06,9,6,1176.8,429.2,0.589679218967922,high_drift_or_erratic
N20,9,6,1173.2,746.1,0.5909344490934448,high_drift_or_erratic
F10,9,6,1172.0,447.1,0.5913528591352859,high_drift_or_erratic
J13,9,6,1165.0,165.6,0.5937935843793585,high_drift_or_erratic
H12,9,6,1149.1,292.5,0.5993375174337517,high_drift_or_erratic
M17,9,6,1127.8,417.1,0.6067642956764296,high_drift_or_erratic
E08,9,6,1117.9,150.1,0.6102161785216178,high_drift_or_erratic
N16,9,6,1115.9,274.3,0.6109135285913528,high_drift_or_erratic
J17,9,6,1102.3,212.3,0.615655509065551,high_drift_or_erratic
F09,9,6,1022.7,184.6,0.6434100418410041,high_drift_or_erratic
H07,9,6,1022.4,234.9,0.6435146443514644,high_drift_or_erratic
K11,9,6,1017.7,458.7,0.6451534170153417,high_drift_or_erratic
L06,9,6,950.2,498.5,0.6686889818688981,high_drift_or_erratic
M06,9,6,944.4,156.1,0.6707112970711296,high_drift_or_erratic
N19,9,6,919.7,211.9,0.679323570432357,high_drift_or_erratic
N08,9,6,910.7,279.5,0.6824616457461645,high_drift_or_erratic
I11,9,6,591.2,237.6,0.793863319386332,high_drift_or_erratic
G11,9,5,1430.0,638.3,0.50139470013947,high_drift_or_erratic
L12,9,5,1427.0,542.7,0.5024407252440726,high_drift_or_erratic
E16,9,5,1422.0,158.3,0.50418410041841,high_drift_or_erratic
G20,9,5,1411.9,103.4,0.5077057182705718,high_drift_or_erratic
K09,9,5,1400.1,113.2,0.5118200836820084,high_drift_or_erratic
E05,9,5,1374.8,218.1,0.5206415620641562,high_drift_or_erratic
C14,9,5,1371.7,169.1,0.5217224546722454,high_drift_or_erratic
K08,9,5,1353.5,259.2,0.528068340306834,high_drift_or_erratic
I15,9,5,1325.0,139.7,0.5380055788005579,high_drift_or_erratic
J16,9,5,1235.9,405.5,0.5690725244072524,high_drift_or_erratic
J07,9,5,1196.1,295.9,0.5829497907949791,high_drift_or_erratic
H15,9,5,1184.9,105.5,0.5868549511854951,high_drift_or_erratic
J14,9,5,1040.6,147.2,0.637168758716876,high_drift_or_erratic
F06,9,5,852.1,565.7,0.7028940027894003,high_drift_or_erratic
J19,9,5,786.0,146.7,0.7259414225941423,high_drift_or_erratic
I08,9,4,1353.3,98.1,0.5281380753138076,high_drift_or_erratic
H05,9,4,1064.4,97.6,0.6288702928870292,high_drift_or_erratic
K07,9,4,1037.4,56.0,0.6382845188284518,high_drift_or_erratic
D10,9,4,861.7,94.1,0.6995467224546722,high_drift_or_erratic
C07,9,3,1303.8341957472967,1.9,0.4604152442475913,high_drift_or_erratic
E07,9,1,1376.0569065267614,0.5099019513592785,0.4368973198220541,one_bad_day
