well,row,column,condition,site_fov,timepoint_day,file_name,mcherry_channel,registration_channel,time_index,cell_roi_id,mask_source,cell_roi_area,total_mcherry_intensity,diffuse_mcherry_integrated_intensity,diffuse_mcherry_mean_intensity,punctate_mcherry_integrated_intensity,puncta_count,puncta_density_per_area,mean_puncta_intensity,median_puncta_area,diffuse_to_punctate_ratio,rupture_like_score,mcherry_metric_interpretation
E12,E,12,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,247928,8054665.0,5733002.0,23.692733764648438,2321663.0,250,0.0010083572650083558,347.6696002807617,17.0,2.4693514950264235,2.4693514950264235,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,20,"260228_day20_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,3,whole_field_foreground,stable_channel,233994,8026684.0,6024863.0,26.355941772460938,2001821.0,268,0.001145328512692012,340.68653083915143,15.0,3.009691176182581,3.009691176182581,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,25,"260305_day25_iNeurons_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,4,whole_field_foreground,stable_channel,195461,4679206.0,3702069.0,19.377893447875977,977137.0,275,0.0014069302827602083,200.19925550981,13.0,3.7886898152420914,3.7886898152420914,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,29,"260309_Day29_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,5,whole_field_foreground,stable_channel,224976,9183618.0,7052084.0,32.0565299987793,2131534.0,324,0.0014401536163793464,382.2099297605915,12.0,3.3084548498859,3.3084548498859,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,32,"260312_Day32_WellE12_Channel405nm Binned,561 nm,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,6,whole_field_foreground,stable_channel,383053,16206654.0,12397443.0,33.10849380493164,3809211.0,555,0.0014488856633378439,391.62670502533786,12.0,3.254596030515702,3.254596030515702,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,36,"260316_Day36_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,7,whole_field_foreground,stable_channel,284681,12297271.0,9127057.0,32.809425354003906,3170214.0,373,0.001310238477449109,425.900915069171,14.0,2.8790034363601706,2.8790034363601706,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E12,E,12,PLD3_mCherry_reporter_control,site0,39,"260319_Day39_WellE12_Channel405nm Binned,561nm Binned,488nm Binned_Seq0039.nd2",561nm Binned,488nm Binned,8,whole_field_foreground,stable_channel,410772,19624316.0,15244127.0,37.962547302246094,4380189.0,558,0.001358417808415962,423.1636466843253,13.0,3.480244117319257,3.480244117319257,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,8,"260216_Day8_iNeurons_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,0,whole_field_foreground,stable_channel,309754,6961640.0,4848331.0,16.03745460510254,2113309.0,322,0.0010395345984199088,258.38332175023805,19.0,2.2941893494977337,2.2941893494977337,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,12,"260220_Day12_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,1,whole_field_foreground,stable_channel,279801,5818719.0,4258409.0,15.586691856384277,1560310.0,282,0.001007859157040154,203.0146358300608,18.0,2.7292070165526536,2.7292070165526536,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
E06,E,06,PLD3_mCherry_reporter_control,site0,16,"260224_day16_WellE06_Channel405nm Binned,561nm Binned,488nm Binned_Seq0033.nd2",561nm Binned,488nm Binned,2,whole_field_foreground,stable_channel,318986,9031223.0,6334950.0,20.342796325683594,2696273.0,319,0.0010000438890703665,319.6578407407181,18.0,2.349520986931832,2.349520986931832,screening metric for punctate-to-diffuse reporter redistribution; not rupture proof
