well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,row,column,common_crop
C06,PLD3_only_no_mCherry,29,488nm Binned,-182.4,0.0,0.004654283730760965,-0.008393709631674426,0.9364016736401674,0.9999999999999579,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
C06,PLD3_only_no_mCherry,32,488nm Binned,0.0,421.9,0.0034203219889455032,-0.0039919871053355005,0.8528940027894003,0.9999999999999497,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
C06,PLD3_only_no_mCherry,36,488nm Binned,0.0,-1130.1,0.014303784224836967,-0.009189446466584013,0.6059623430962343,0.9999999999999876,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
C06,PLD3_only_no_mCherry,39,488nm Binned,-140.2,0.0,0.009704760456616848,0.0016492517336911454,0.9511157601115761,0.9999999999999707,True,phase_cross_correlation_on_stable_channel,C,06,"{'y_start': 321, 'y_stop': 1959, 'x_start': 422, 'x_stop': 1737}"
C11,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C11,PLD3_only_no_mCherry,12,488nm Binned,151.0,0.0,0.0028393913192525746,0.004672681630813732,0.947350069735007,0.9999999999999911,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C11,PLD3_only_no_mCherry,16,488nm Binned,141.7,0.0,0.003611801025552809,0.004165572450006981,0.9505927475592748,0.9999999999999837,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C11,PLD3_only_no_mCherry,20,488nm Binned,0.0,357.7,0.002700194613346265,0.004342789216873887,0.8752789400278941,0.999999999999994,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C11,PLD3_only_no_mCherry,25,488nm Binned,1251.4,0.0,0.0039040231723596517,0.0008051574692528159,0.5636680613668061,0.9999999999999882,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C11,PLD3_only_no_mCherry,29,488nm Binned,68.4,0.0,0.008068710865350815,0.043003159226716166,0.9761506276150628,0.9999999999999877,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C11,PLD3_only_no_mCherry,32,488nm Binned,0.0,-1076.4,0.0009163880327703442,-0.0010401003218658562,0.6246861924686192,0.999999999999993,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C11,PLD3_only_no_mCherry,36,488nm Binned,0.0,788.1,-0.003143184782966004,-0.0036991933939640427,0.7252092050209206,0.999999999999998,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C11,PLD3_only_no_mCherry,39,488nm Binned,-274.9,0.0,-0.0039871532697268505,0.0016120926147872258,0.9041492329149232,0.9999999999999926,True,phase_cross_correlation_on_stable_channel,C,11,"{'y_start': 1252, 'y_stop': 2593, 'x_start': 789, 'x_stop': 1791}"
C05,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,12,488nm Binned,0.0,1150.1,0.007425621427481982,0.008005922823027424,0.5989888423988843,0.9999999999999849,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,16,488nm Binned,257.3,0.0,0.01379682902832281,0.00642206773629498,0.9102859135285913,0.9999999999999737,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,20,488nm Binned,-80.7,0.0,-0.0019472038307105808,0.002400404530291457,0.9718619246861925,0.9999999999999603,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,25,488nm Binned,-294.1,0.0,0.006145215769821881,-0.0030574595938366016,0.8974546722454673,0.9999999999999866,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,29,488nm Binned,0.0,894.1,0.01015750312157184,0.001056360524806,0.6882496513249652,0.9999999999999859,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,32,488nm Binned,133.3,0.0,0.006025922907275482,0.0012655186614978584,0.9535216178521617,0.999999999999973,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,36,488nm Binned,0.0,218.7,-0.0036245555429421455,0.004395917262257402,0.9237447698744771,0.9999999999999856,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C05,PLD3_only_no_mCherry,39,488nm Binned,-226.8,0.0,0.008023984995343956,-0.004816572924637529,0.9209205020920501,0.9999999999999778,True,phase_cross_correlation_on_stable_channel,C,05,"{'y_start': 258, 'y_stop': 2573, 'x_start': 1151, 'x_stop': 2868}"
C10,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C10,PLD3_only_no_mCherry,12,488nm Binned,-147.6,0.0,0.008602001894364298,-0.00016184271256575728,0.9485355648535565,0.9999999999999803,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C10,PLD3_only_no_mCherry,16,488nm Binned,-718.9,0.0,0.01570705217187775,0.018965402787440626,0.7493375174337518,0.9999999999999466,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C10,PLD3_only_no_mCherry,20,488nm Binned,-641.3,0.0,0.006495891071157559,0.006179625099366017,0.77639470013947,0.9999999999999731,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C10,PLD3_only_no_mCherry,25,488nm Binned,0.0,849.2,0.0006950287674137735,0.019477926536204504,0.703905160390516,0.999999999999977,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C10,PLD3_only_no_mCherry,29,488nm Binned,-201.5,0.0,0.01845262063296581,0.007691523266632498,0.9297419804741981,0.9999999999999675,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C10,PLD3_only_no_mCherry,32,488nm Binned,787.0,0.0,0.0030903339655797275,-0.011978922978444476,0.7255927475592747,0.9999999999999438,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C10,PLD3_only_no_mCherry,36,488nm Binned,0.0,-53.1,-0.0001979456288652585,0.0074991058650648035,0.9814853556485356,0.9999999999999726,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C10,PLD3_only_no_mCherry,39,488nm Binned,-251.0,0.0,0.006085330435538332,0.0017779109324670692,0.9124825662482566,0.9999999999999812,True,phase_cross_correlation_on_stable_channel,C,10,"{'y_start': 787, 'y_stop': 2149, 'x_start': 850, 'x_stop': 2814}"
C07,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,12,488nm Binned,1.9,0.0,0.06232253023711365,0.06852978992259365,0.9993375174337518,0.9999999999999996,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,16,488nm Binned,1.0,-921.1,0.06630174275865879,0.029999464300779027,0.6785987324179276,0.9999999999999998,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,20,488nm Binned,922.0,921.9,0.06391055309417003,0.014236831037205458,0.46041524424759134,0.9999999999999998,False,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,25,488nm Binned,0.1,-0.2,0.08277734996847001,0.08545396684370883,0.9998953999210255,0.9999999999999996,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,29,488nm Binned,2.1,0.0,0.07627097648958166,0.08515261978833705,0.9992677824267783,0.9999999999999997,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,32,488nm Binned,0.0,-0.1,0.06794914061320091,0.06900337810108931,0.9999651324965133,0.9999999999999997,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,36,488nm Binned,0.2,921.0,0.0651874918812857,0.025043022225358973,0.6788229518624208,0.9999999999999997,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C07,PLD3_only_no_mCherry,39,488nm Binned,0.0,-0.1,0.055920476286174,0.056802188761066644,0.9999651324965133,0.9999999999999994,True,phase_cross_correlation_on_stable_channel,C,07,"{'y_start': 922, 'y_stop': 2868, 'x_start': 922, 'x_stop': 1946}"
C14,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,12,488nm Binned,-21.6,0.0,0.007667624846779779,0.012630345625831063,0.9924686192468619,0.9999999999999776,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,16,488nm Binned,234.4,0.0,0.01596150300265666,9.941525337393813e-05,0.9182705718270572,0.9999999999999607,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,20,488nm Binned,0.0,1371.7,0.001641503260437836,0.017501125660735483,0.5217224546722454,0.9999999999999913,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,25,488nm Binned,0.0,229.8,0.015063600465569333,0.016172711817040986,0.9198744769874476,0.9999999999999851,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,29,488nm Binned,566.6,0.0,0.02118162381638664,-0.004003759367908755,0.8024407252440725,0.9999999999999802,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,32,488nm Binned,61.8,0.0,0.011385873778381914,-0.0019844326504804997,0.9784518828451882,0.9999999999999827,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,36,488nm Binned,-169.1,0.0,0.008006724183478102,0.010104642190120304,0.9410390516039052,0.9999999999999571,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C14,PLD3_only_no_mCherry,39,488nm Binned,11.7,0.0,0.004274688909009195,0.010105924029086933,0.9959205020920503,0.9999999999999821,True,phase_cross_correlation_on_stable_channel,C,14,"{'y_start': 567, 'y_stop': 2698, 'x_start': 1372, 'x_stop': 2868}"
C08,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C08,PLD3_only_no_mCherry,12,488nm Binned,-207.2,0.0,-0.003622078047193348,0.011557690627337996,0.9277545327754533,0.9999999999999806,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C08,PLD3_only_no_mCherry,16,488nm Binned,190.0,0.0,0.014867340706625142,0.002017752348514994,0.9337517433751743,0.9999999999999729,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C08,PLD3_only_no_mCherry,20,488nm Binned,-194.3,0.0,0.006796914641764835,0.012357203204073021,0.932252440725244,0.9999999999999676,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C08,PLD3_only_no_mCherry,25,488nm Binned,0.1,-1.0,0.0051454466613772435,0.005450240932663717,0.9996164696190737,0.9999999999999964,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C08,PLD3_only_no_mCherry,29,488nm Binned,0.0,635.0,0.014438038148161646,0.00723913595170533,0.7785913528591353,0.9999999999999797,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C08,PLD3_only_no_mCherry,32,488nm Binned,-157.3,0.0,0.008744720480683395,0.003116848429016656,0.9451534170153416,0.9999999999999724,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C08,PLD3_only_no_mCherry,36,488nm Binned,0.0,-839.5,0.0033183561759867206,-0.006089452373587945,0.7072873082287309,0.9999999999999875,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C08,PLD3_only_no_mCherry,39,488nm Binned,360.1,0.0,0.007163459340250732,-0.003002169792231999,0.8744421199442121,0.9999999999999825,True,phase_cross_correlation_on_stable_channel,C,08,"{'y_start': 361, 'y_stop': 2660, 'x_start': 635, 'x_stop': 2028}"
C15,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C15,PLD3_only_no_mCherry,12,488nm Binned,-80.4,0.0,0.0013119988529988523,0.009167706740302234,0.9719665271966527,0.99999999999999,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C15,PLD3_only_no_mCherry,16,488nm Binned,0.0,-896.0,0.004589203113040123,0.002502369212734364,0.6875871687587168,0.9999999999999858,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C15,PLD3_only_no_mCherry,20,488nm Binned,1421.0,0.0,0.0002035170881331778,0.005847991647569033,0.5045327754532776,0.9999999999999786,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C15,PLD3_only_no_mCherry,25,488nm Binned,0.0,-1059.3,0.0009040548560817694,0.008533326188458383,0.6306485355648537,0.9999999999999921,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C15,PLD3_only_no_mCherry,29,488nm Binned,0.0,-1161.9,0.01391247785881348,-0.004855637117760105,0.5948744769874477,0.9999999999999862,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C15,PLD3_only_no_mCherry,32,488nm Binned,0.0,564.7,0.00462743173710045,0.004715232516618498,0.8031032078103209,0.9999999999999929,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C15,PLD3_only_no_mCherry,36,488nm Binned,1077.4,0.0,0.000890903319447511,-0.0009560783183082325,0.6243375174337518,0.9999999999999876,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C15,PLD3_only_no_mCherry,39,488nm Binned,1170.3,0.0,-0.0007012819150081356,0.0008401363857809553,0.5919456066945608,0.999999999999988,True,phase_cross_correlation_on_stable_channel,C,15,"{'y_start': 1421, 'y_stop': 2787, 'x_start': 565, 'x_stop': 1706}"
C16,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,16,"{'y_start': 435, 'y_stop': 2868, 'x_start': 1295, 'x_stop': 1648}"
C16,PLD3_only_no_mCherry,12,488nm Binned,0.0,-985.6,-8.302075940780136e-05,-0.012232830890348585,0.6563458856345886,0.999999999999984,True,phase_cross_correlation_on_stable_channel,C,16,"{'y_start': 435, 'y_stop': 2868, 'x_start': 1295, 'x_stop': 1648}"
